imdb_id,type,title,director,language,country,year,released_at,runtime,imdb_rating,metascore,imdb_votes,country_group
tt0220099,movie,The Tigger Movie,Jun Falkenstein,English,"USA, Japan",2000,2000-02-11,77,6.3,53.0,16402,usa_other
tt0405469,movie,The Wild,Steve 'Spaz' Williams,English,"Canada, USA",2006,2006-04-14,82,5.3,47.0,23206,usa_other
tt0094137,movie,Three Men and a Baby,Leonard Nimoy,English,USA,1987,1987-11-25,102,6.0,61.0,45155,usa
tt0098966,movie,Three Men and a Little Lady,Emile Ardolino,English,USA,1990,1990-11-21,104,5.4,51.0,21881,usa
tt0111419,movie,Thumbelina,"Don Bluth, Gary Goldman",English,"Ireland, USA, Canada, UK, Denmark, Spain, Poland, Hungary",1994,1994-03-30,86,6.3,,14576,usa_other
tt0107688,movie,The Nightmare Before Christmas,Henry Selick,English,USA,1993,1993-10-29,76,8.0,82.0,281155,usa
tt0823671,movie,Tinker Bell,Bradley Raymond,English,USA,2008,2008-10-28,78,6.8,,11194,usa
tt5116302,movie,Togo,Ericson Core,English,USA,2019,2019-12-20,113,8.1,69.0,24630,usa
tt0114709,movie,Toy Story,John Lasseter,English,USA,1995,1995-11-22,81,8.3,95.0,846332,usa
tt0120363,movie,Toy Story 2,"John Lasseter, Ash Brannon(co-director), Lee Unkrich(co-director)","English, Arabic, Spanish",USA,1999,1999-11-24,92,7.9,88.0,504561,usa
tt0435761,movie,Toy Story 3,Lee Unkrich,"English, Spanish",USA,2010,2010-06-18,103,8.3,92.0,729086,usa
tt1979376,movie,Toy Story 4,Josh Cooley,English,USA,2019,2019-06-21,100,7.8,84.0,172068,usa
tt0133240,movie,Treasure Planet,"Ron Clements, John Musker",English,USA,2002,2002-11-27,95,7.2,60.0,96646,usa
tt0084827,movie,TRON,Steven Lisberger,English,USA,1982,1982-07-09,96,6.8,58.0,110110,usa
tt1104001,movie,TRON: Legacy,Joseph Kosinski,English,USA,2010,2010-12-17,125,6.8,49.0,306175,usa
tt0283084,movie,Tuck Everlasting,Jay Russell,"English, French",USA,2002,2002-10-11,90,6.6,66.0,20533,usa
tt0098536,movie,Turner & Hooch,Roger Spottiswoode,English,USA,1989,1989-07-28,97,6.2,36.0,61665,usa
tt1049413,movie,Up,"Pete Docter, Bob Peterson(co-director)",English,USA,2009,2009-05-29,96,8.2,88.0,895906,usa
tt0361089,movie,Valiant,Gary Chapman,English,"UK, USA",2005,2005-08-19,76,5.5,45.0,20118,usa_other
tt0910970,movie,WALL·E,Andrew Stanton,English,USA,2008,2008-06-27,98,8.4,95.0,955757,usa
tt0103247,movie,White Fang,Randal Kleiser,English,USA,1991,1991-01-18,107,6.7,62.0,18897,usa
tt0096438,movie,Who Framed Roger Rabbit,"Robert Zemeckis, Richard Williams",English,USA,1988,1988-06-22,104,7.7,83.0,175505,usa
tt0096446,movie,Willow,Ron Howard,English,USA,1988,1988-05-20,126,7.3,47.0,97309,usa
tt1449283,movie,Winnie the Pooh,"Stephen J. Anderson, Don Hall",English,USA,2011,2011-07-15,63,7.2,74.0,20673,usa
tt0799922,series,Wizards of Waverly Place,,English,USA,2007,2007-10-12,22,6.8,,27826,usa
tt1369845,movie,Wizards of Waverly Place: The Movie,Lev L. Spiro,English,USA,2009,2009-08-28,94,6.2,,14540,usa
tt1772341,movie,Wreck-It Ralph,Rich Moore,English,USA,2012,2012-11-02,101,7.7,72.0,365043,usa
tt2948356,movie,Zootopia,"Byron Howard, Rich Moore, Jared Bush(co-director)",English,USA,2016,2016-03-04,108,8.0,78.0,410437,usa
